idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
423221,1000083842,66,SDFP-16,,Carrier Differential,,PT. Cipta Kridatama,Site TIA,QC2,M5153QC2,Check crack ,,1,,,,,1.00008E+11,,,,2,,,,,,,,,
423239,1000083842,150,SDFP-16,,Carrier Differential,,PT. Cipta Kridatama,Site TIA,HDR,M5153HDR,Deburr after machining process,,1,,,,,1.00008E+12,,,,2,,,,,,,,,
423240,1000083842,160,SDFP-16,,Carrier Differential,,PT. Cipta Kridatama,Site TIA,QC2,M5153QC2,Final Inspection,,1,,,,,1.00008E+12,,,,2,,,,,,,,,
423225,1000083842,70,SDFP-16,,Carrier Differential,,PT. Cipta Kridatama,Site TIA,MTS,M5153MTS,Metal Spray ID Bearing seat 1,,6,,,,,1.00008E+11,,,,2,,,,,,,,,
423219,1000083842,60,SDFP-16,,Carrier Differential,,PT. Cipta Kridatama,Site TIA,VTL,M5153VTL,Strip ID Bearing Seat 3,,2,,,,,1.00008E+11,,,,2,,,,,,,,,
423220,1000083842,61,SDFP-16,,Carrier Differential,,PT. Cipta Kridatama,Site TIA,VTL,M5153VTL,Strip flange face contact,,2,,,,,1.00008E+11,,,,2,,,,,,,,,
418843,1000081074,5,SDFP-21,347-8616,Housing Torque Converter,,PT. Cipta Kridatama,Site BIB,PPC,,Order Original Sleeve,,0,,,,,10000810745,,,,1,,,,,,,,,
422704,1000083692,390,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,MGN1,M5153COR,Seting before machining,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422714,1000083692,510,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,QC2,M5153QC2,Inspection,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422713,1000083692,500,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,HDR,M5153HDR,Handressing ,,0.5,,,,,1.00008E+12,,,,1,,,,,,,,,
422712,1000083692,470,SDFP-28,504-4889,Flange Half Differential,,PT. Trakindo Utama,Tanjung Adaro,ASY,M5153ASY,Install new dowels,,1.5,,,,,1.00008E+12,,,,1,,,,,,,,,
516009,1000122219,20,SUCG-280,496-2993,Support Recoil Spring,345,Cipta Kridatama PT.,BMB,PPC,,Replace New Part,,0,,,,,1.00012E+11,0,,,8,,,,,,,,,
